item	site	category	subcategory	description
Bloodboon	Elden Ring Wiki	Magic	Incantations	"Sacred incantation of Mohg, Lord of Blood.
Thrust arm into the body of the Formless Mother, then scatter the
bloodflame to set the area ablaze.
This incantation can be cast while in motion.
The mother of truth craves wounds. When Mohg stood before
her, deep underground, his accursed blood erupted with fire, and
besotted with the defilement that he was born into.
"
Thops's Barrier (Spell)	Elden Ring Wiki	Magic	Sorceries	"This is the page for the sorcery: Thop's Barrier. Click here for the Ash of War: Thops's Barrier.
The lifelong pursuit of Thops the Bluntstone.
Creates a magic forcefield that deflects sorceries and incantations.Hold to continuously create barriers.
Future generations will learn. They will know the foolishness ofthe sneering sorcerers who ridiculed this theory, little realizingthat it was in fact a discovery worthy of a new conspectus of the academy.
"
Cure Poison	Elden Ring Wiki	Incantations	+	"Incantation of the Two Fingers' faithful.
Alleviates poison buildup and cures poison.
This incantation can be cast while in motion.
The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.
"
Freezing Mist	Elden Ring Wiki	Magic	Sorceries	"Sorcery said to have been used by the old snow witch.
Releases a cold mist before the caster.This sorcery can be cast while in motion. Charging enhances 
range of the mist.
The snowy crone taught the young Ranni to fear the dark moon 
as she imparted her cold sorcery.
"
Placidusax's Ruin	Elden Ring Wiki	Magic	Incantations	"Power gleaned form the remembrance of Dragonlord Placidusax.  
Transforms caster into the Dragonlord to spew golden breath from above. This incantation can be cast while jumping.
These are the dying wails of the Dragonlord who once dwelled eternal beyond time.
"
Urgent Heal	Elden Ring Wiki	Magic	Incantations	"Incantation of the Two Fingers' faithful.
Heals a small amount of HP.
This incantation can be cast while in motion.
The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.
"
Lord's Aid	Elden Ring Wiki	Magic	Incantations	"Incantation bestowed by the Two Fingers upon the Tarnished
deemed worthy of becoming a lord.
Alleviates buildup of poison, blood loss, and sleep for the caster
and nearby allies. Additionally, cures poison.
Hold to continue praying and delay activation.
"
Glintstone Pebble	Elden Ring Wiki	Magic	Sorceries	"The most basic glintstone sorcery of the Academy of Raya Lucaria.
The glintstone serves as a conduit, launching magical projectiles at foes.This sorcery can be cast repeatedly and while in motion.
This is a universal first step on the journey to true knowledge of sorcery.
"
Ancient Dragons' Lightning Spear	Elden Ring Wiki	Magic	Incantations	"A secret incantation of the capital's ancient dragon cult.
Creates a spear of red lightning and stabs it into the ground from
above. On impact, the spear will burst into trails of lightning
covering the area.
Spoken of in legend, red lightning is the weapon wielded by the
ancient dragons.
"
Blessing's Boon	Elden Ring Wiki	Magic	Incantations	"One of the ancient Erdtree incantations.
Grants a blessing to the caster and nearby allies, gradually restoring HP.Hold to continue praying and delay activation. 
Blessings once fell like tears from the Erdtree, and this incantation is but a lingering remnant of their power.
"
Wrath of Gold	Elden Ring Wiki	Magic	Incantations	"Superior Erdtree Worship incantation.Produces a golden shockwave that knocks back nearby foes.Charging increases the size of the shockwave.This incantation was discovered when the Elden Ring was shattered, and it was feared as a sign of the Erdtree's wrath.
"
Bestial Constitution	Elden Ring Wiki	Magic	Incantations	"Incantation taught by Gurranq, the Beast Clergyman.
Fills the body with bestial vigor, alleviating buildup of frost and blood loss.
Having gained intelligence, the beasts must have felt how their wildness slipped away as civilization took hold.
"
Law of Causality	Elden Ring Wiki	Magic	Incantations	"One of the incantations of the Golden Order fundamentalists.
One of the key fundamentals.
Manifests a small ring of causality within that allows the caster to
automatically retaliate upon receiving a certain number of blows.
The fundamentalists describe the Golden Order through the
powers of regression and causality. Causality is the pull between
meanings; that which links all things in a chain of relation
"
Unseen Form	Elden Ring Wiki	Magic	Sorceries	"One of the night sorceries of Sellia, Town of Sorcery. Makes the caster semi-invisible. While on horseback, effect extends to cover the mount. This sorcery can be cast while in motion.The Sellian assassins considered every option that aided their dirty work.
"
Roiling Magma	Elden Ring Wiki	Magic	Sorceries	"One of the sorceries developed from the magma of Mt. Gelmir.Fires a lump of condensed magma that explodes a short delay after hitting the target.Charging enhances potency and further delays the explosion.After discovering the ancient hexes of Gelmir, Rykard, son of Queen Rennala, brought them back into practical use as new forms of sorcery.
"
Frozen Armament	Elden Ring Wiki	Magic	Sorceries	"Sorcery said to have been used by the old snow witch.Enchants armament held in the right hand with frost.This sorcery can be cast while in motion.The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery.
"
Darkness	Elden Ring Wiki	Magic	Incantations	"Incantation of the Two Fingers' servants, who once served as the 
assassins of the Roundtable Hold.
Creates a veil of darkness that conceals the caster.This incantation can be cast while in motion or crouching.
The assassins were themselves once Tarnished who had strayed
 from guidance, and they pursued their duty in the darkness that is
 without grace.
"
Magic Fortification	Elden Ring Wiki	Magic	Incantations	"Incantation of the Two Fingers' faithful.
Increases magic damage negation.This incantation can be cast while in motion.
Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights, and the scions of gold. Heed me – the Lands Between offers no welcome to the Tarnished.
"
Assassin's Approach	Elden Ring Wiki	Magic	Incantations	"Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold.
Completely silences the footsteps of the caster. Additionally, reduces fall damage and the sound produced by falling.
This incantation can be cast while in motion or crouching.
The assassins were charged with eliminating Tarnished who had strayed from guidance.
"
Meteorite of Astel	Elden Ring Wiki	Magic	Sorceries	"One of the glintstone sorceries that manipulates gravitational forces. Summons a void that emits a hail of meteorites. Hold to continue the effect. A manifestation of the power with which Astel leveled the Eternal City. 
"
Immutable Shield	Elden Ring Wiki	Magic	Incantations	"One of the incantations of the Golden Order fundamentalists.
Enchants shield held in the left hand with the light of regression, 
increasing all forms of non-physical damage negation and ailment 
resistance.
Two concepts form the basis for Golden Order fundamentalism.
One is the law of regression, to which this incantation relates.
"
Howl of Shabriri	Elden Ring Wiki	Magic	Incantations	"Incantation originating from the maddening Three Fingers.
Releases a maddening shriek that causes madness buildup in foes 
nearby.
This incantation also causes madness buildup in the caster and 
makes enemies more likely to target them.
It is said that the sickness of the flame of frenzy began with 
Shabriri, the most reviled man in all history.
"
Magma Shot	Elden Ring Wiki	Magic	Sorceries	"One of the sorceries developed from the magma of Mt. Gelmir.
Fires a lump of magma that explodes on contact. 
Charging enhances potency.
After discovering the ancient hexes of Gelmir, Rykard, son of Queen Rennala, brought them back into practical use as new forms of sorcery.
"
Triple Rings of Light	Elden Ring Wiki	Magic	Incantations	"One of the incantations of the Golden Order fundamentalists. Produces three rings of light and fires them forwards. The rings of light return to a position close to the caster before disappearing. This incantation can be cast repeatedly. A gift from the young Miquella to his father, Radagon. 
"
Giantsflame Take Thee	Elden Ring Wiki	Magic	Incantations	"One of the incantations that draws directly from the power of the
Fire Giants.
Hurls a massive ball of raging fire.
Charging enhances potency and causes the ball of fire to explode.
There is no record of this incantation in common prayerbooks.
Only a select few prelates know of its existence.
"
Starlight	Elden Ring Wiki	Magic	Sorceries	"One of the glintstone sorceries of the Academy of Raya Lucaria.
Creates a small, floating star light that illuminates surroundings.
This sorcery can be cast while in motion.
Granted to sorcerers who depart from the academy to embark on journeys. Even during the blackest nights, sojourns underground, or imprisonment in gaol, the stars are never far from a sorcerer's side.
"
Fire's Deadly Sin	Elden Ring Wiki	Magic	Incantations	"Incantation originating from a deeply ominous prophecy.
Sets both the caster and the surrounding area ablaze with raging flames. The caster's body will remain engulfed in flame for a while, burning them and any who draw near. Charging enhances potency.
The prophet despaired, looking up at the Erdtree, for soon the kindling would burst into flame, bringing ruin.
""The burning of the Erdtree is the first cardinal sin. That is not the domain of mere men.""
"
Erdtree Heal	Elden Ring Wiki	Magic	Incantations	"One of the ancient Erdtree incantations.
Heals a vast amount of HP for the caster and nearby allies.
Hold to continue praying and delay activation.
The Erdtree once flourished with abundance - yet it was only for
a fleeting moment. Such is the course of all life.
"
Rock Sling	Elden Ring Wiki	Magic	Sorceries	"One of the glintstone sorceries that manipulates gravitational forces. 
Pulls a clump of rocks from the earth and sends them flying. This sorcery can be cast while in motion.
A gravitational technique studied by the young Radahn. His master was an Alabaster Lord with skin of stone. 
"
Gurranq's Beast Claw	Elden Ring Wiki	Magic	Incantations	"Superior incantation taught by Gurranq, the Beast Clergyman.
Creates beast claws that rend surroundings with shockwaves.
Long ago, Gurranq was a beast of such terrifying ferocity that his
former name meant ""Death of the Demigods.""
Notes:
"
Rennala's Full Moon	Elden Ring Wiki	Magic	Sorceries	"Sorcery associated with the Carian queen.
Uses the caster as a vessel to incarnate a full moon, then sends it floating toward foes. The full moon dispels all sorcery that touches it, and temporarily reduces magic damage negation for those it strikes.
Queen Rennala encountered this enchanting moon when she was young, and later, it would bewitch the academy.
"
Ancient Dragons' Lightning Strike	Elden Ring Wiki	Magic	Incantations	"A secret incantation of the capital's ancient dragon cult.
Summons a red bolt of lightning that scatters and spreads around
the surrounding area.
Charging enhances the range of the lightning bolt.
Spoken of in legend, red lightning is the weapon wielded by the
ancient dragons.
"
Rykard's Rancor	Elden Ring Wiki	Magic	Sorceries	"The terrible power of Rykard, Lord of Blasphemy. 
Summons searing spirits that leave a trail of delayed explosions in their wake.
These spirits manifest from the rancor of heroes who met a violent end. The lord granted them an audience, whereupon they were welcomed by the maw of the great serpent -- and within the serpent's bowels, they became the lord's kin. 
"
Aspects of the Crucible: Breath	Elden Ring Wiki	Magic	Incantations	"One of the ancient Erdtree incantations.
Creates a throat pouch on the caster's neck, allowing them to spew
fiery breath while walking.
Charging increases duration of the breath.
This is a manifestation of the Erdtree's primal vital energies - an
Aspects of the primordial crucible, where all life was once blended
together.
"
Shatter Earth	Elden Ring Wiki	Magic	Sorceries	"One of the glintstone sorceries of the Academy of Raya Lucaria.Imbues the ferrule of the caster's staff with magic, then thrusts it into the ground to create a magical shockwave.Allows one follow-up attack.A Stonedigger sorcery used by the glintstone miners of the crystal tunnel. At the academy, use of this sorcery was a stigma that marked out failed scholars.
"
Carian Slicer	Elden Ring Wiki	Magic	Sorceries	"One of the sorceries of the Carian royal family.
Conjures a magic sword and delivers a swift sweeping slash.This sorcery can be used without delay after performing anotheraction.
Even among the Carian sword sorceries, this is a notably effective technique.
"
Tibia's Summons	Elden Ring Wiki	Magic	Sorceries	"Sorcery of the servants of Death.Summons a group of Those Lost in Death.Three skeletons will appear some distance from the caster and attack foes before disappearing.The dead have long been left to wander; what they need is leadership.
"
Carian Greatsword	Elden Ring Wiki	Magic	Sorceries	"One of the sorceries of the Carian royal family.Conjures a magic greatsword and then delivers a sweeping blow.This sorcery can be cast repeatedly.Armed with this spell, sorcerers gain the strength of knights, their loyalty sworn to the moon.
"
Noble Presence	Elden Ring Wiki	Magic	Incantations	"Ancient power of the Godskin Nobles.
Thrust out belly with gusto to produce a shockwave that knocks
back nearby foes.
Charging enhances potency, knocking enemies into the air.
Once a sign of the gods' wrath, this incantation became a trophy
of the Nobles' god hunt.
"
Aspects of the Crucible: Horns	Elden Ring Wiki	Magic	Incantations	"One of the ancient Erdtree incantations.
Creates a mighty horn on the caster's shoulder to gore foes from a low stance.
Charging allows the caster to barrel into foes before delivering the final attack.
This is a manifestation of the Erdtree's primal vital energies - an aspect of the primordial crucible, where all life was once blended together.
"
Dragonfire	Elden Ring Wiki	Incantations	+	"One of the incantations of Dragon Communion.
Transforms caster into a dragon to spew flaming breath. Charging extends duration.
Incantation of those who have hunted dragons and feasted upon their hearts. Theirs is a pure and overwhelming power.
"
