item	site	category	subcategory	description
Poisonbite Ring	Dark Souls Wiki	Rings	+	"
One of the infamous bite rings commissioned by Sir Arstor of Carim. Despite the dreadful rumorssurrounding its creation, this ring is an unmistakable asset, in its ability to help prevent poison.
"
Covenant of Artorias	Dark Souls Wiki	Rings	+	"
This ring symbolizes Knight Artorias's covenant with the beasts of the Abyss.Its wearer, like Artorias himself can traverse the Abyss.
"
Old Witch's Ring	Dark Souls Wiki	Rings	+	"
Old ring from an old witch. Engraved minutelywith indecipherable script, but seemingly useless.
"
Speckled Stoneplate Ring	Dark Souls Wiki	Rings	+	"
Stoneplates, the symbol of a true knight, grant the strength to face various hardships. The precious rare speckled stoneplate grants a small boost to defense against magic, flame, and lightning.
"
Covetous Gold Serpent Ring	Dark Souls Wiki	Rings	+	"
The serpent is an imperfect dragon and symbol of the Undead. Its habit of devouring preyeven larger than itself has led to an association of gluttony. This gold ring, engraved withthe serpent, boosts its wearer's item discovery, so that more items can be amassed.
"
Bellowing Dragoncrest Ring	Dark Souls Wiki	Rings	+	"
A special ring granted to only the most accomplished sorcerers at Vinheim Dragon School.The ring is engraved with an everlasting dragon, and boosts the strength of sorceries.
"
Wolf Ring	Dark Souls Wiki	Rings	+	"
One of the special rings granted to the four knights of Gwyn. The Wolf Ring belongs to Artorias the Abysswalker. Artorias had an unbendable will of steel, and was unmatched with a greatsword.
"
Cat Covenant Ring	Dark Souls Wiki	Rings	+	"
Ring granted to those bound by the Forest Hunter covenant. Answer Alvina's summoning.The white cat Alvina speaks a human tongue and has lived since the early Age of Fire.Alvina was a trusted friend of Knight Artorias and the Great Wolf Sif.
"
Thunder Stoneplate Ring	Dark Souls Wiki	Rings	+	"
Stoneplates, the symbol of a true knight, grant the strength to face various hardships.The yellow stoneplate symbolizes thunder, and boosts defence against lightning.
"
Hornet Ring	Dark Souls Wiki	Rings	+	"
One of the special rings granted to the four knights of Gwyn. The Hornet RingBelonged to the Lord's Blade Ciaran. By boosting critical attacks, its wearer canannihilate foes, as Ciaran's dagger laid waste to Lord Gwyn's enemies.
"
Ring of Favor and Protection	Dark Souls Wiki	Rings	+	"
A ring symbolizing the favor and protection of the goddess Fina, known in legend to possess 'fateful beauty.
"
Dark Wood Grain Ring	Dark Souls Wiki	Rings	+	"
This special ring crafted in an Eastern land is made of gold, but with a wood grain creston its surface. Agents of subterfuge in this faraway land are particularly fond of thedark gold wood grain, which greatly alters its wearer's rolling action.
"
Lingering Dragoncrest Ring	Dark Souls Wiki	Rings	+	"
A special ring granted to only the most accomplished sorcerers at Vinheim Dragon School.The ring is engraved with a lingering dragon, and boosts the length of the effects of sorceries.
"
Ring of Fog	Dark Souls Wiki	Rings	+	"
Those who befriend Alvina are given this mysterious ring. It resembles a pearl with its robust pure-white fog.The ring camouflages its wearer's presence, helping to prevent detection.
"
Darkmoon Seance Ring	Dark Souls Wiki	Rings	+	"
This ring is granted to adherents of Gwyndolin, Darkmoon deity and last born of Gwyn, Lord of Sunlight.Grants additional magic attunement slots. The Dark Sun Gwyndolin is the only remaining deity in AnorLondo. His followers are few, but their tasks are of vital importance.
"
Ring of the Sun Princess	Dark Souls Wiki	Rings	+	"
This ring is granted to those who enter a Covenant with Gwynevere, daughter of Lord Gwyn and the Princess of Sunlight. This slightly warm ring boosts the synergy of miracles. The Princess of Sunlight left Anor Londo along with many other deities, and later became wife to Flame God Flann.
"
Rare Ring of Sacrifice	Dark Souls Wiki	Rings	+	"
This mystical ring was created in a sacrificial rite of Velka, the Goddess of Sin.The magenta-shaded ring is especially rare. Its wearer will lose nothing upon death,and will be freed from any curse whatsoever, but the ring itself breaks.
"
